Plot,Treatment
1,0_1_2
2,1_0_1
3,0_0_1
4,1_1_0
5,0_0_0
6,1_0_0
7,0_1_0
8,0_1_1
9,1_1_1
10,1_1_2
11,0_1_0
12,1_1_1
13,0_0_1
14,1_1_0
15,1_1_2
16,1_0_1
17,0_1_1
18,0_1_2
19,1_0_0
20,0_0_0
21,0_1_1
22,1_0_0
23,1_1_1
24,1_1_0
25,0_0_1
26,1_1_2
27,1_0_1
28,0_1_0
29,0_0_0
30,0_1_2
31,1_0_0
32,1_0_1
33,1_1_0
34,0_0_1
35,0_1_2
36,0_1_0
37,1_1_2
38,1_1_1
39,0_0_0
40,0_1_1
41,0_1_1
42,1_0_0
43,1_1_0
44,0_0_1
45,0_1_2
46,1_0_1
47,0_1_0
48,1_1_2
49,0_0_0
50,1_1_1
51,0_1_0
52,1_0_0
53,1_1_1
54,1_1_0
55,0_0_0
56,0_1_2
57,1_0_1
58,0_1_1
59,1_1_2
60,0_0_1
61,1_0_0
62,0_1_1
63,1_0_1
64,0_0_0
65,1_1_0
66,1_1_2
67,0_1_2
68,1_1_1
69,0_0_1
70,0_1_0
71,0_1_1
72,0_0_1
73,1_0_1
74,1_0_0
75,0_0_0
76,1_1_1
77,1_1_0
78,1_1_2
79,0_1_2
80,0_1_0
81,0_0_1
82,0_0_0
83,1_1_1
84,1_1_0
85,1_1_2
86,0_1_2
87,1_0_0
88,0_1_0
89,0_1_1
90,1_0_1
91,1_1_0
92,1_1_2
93,0_1_2
94,0_1_1
95,0_0_1
96,0_0_0
97,1_0_1
98,1_0_0
99,0_1_0
100,1_1_1
101,1_0_1
102,0_0_1
103,0_0_0
104,1_1_1
105,1_1_0
106,1_1_2
107,0_1_2
108,1_0_0
109,0_1_0
110,0_1_1
111,1_0_1
112,1_1_0
113,0_1_0
114,0_0_1
115,0_1_2
116,1_1_1
117,1_0_0
118,1_1_2
119,0_1_1
120,0_0_0
121,0_1_0
122,1_0_1
123,1_0_0
124,0_1_2
125,0_0_1
126,1_1_1
127,1_1_0
128,0_0_0
129,1_1_2
130,0_1_1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
